candidate_id,qualification,experience_level,job_role,experience_years,experience_years_filled,experience_was_missing,qualification_course,skills_list,num_skills
1,Master's in Data Science,Senior,Data Scientist,7.0,7.0,False,Master,"['Python', 'SQL', 'TensorFlow', 'Machine Learning', 'Communication']",5
2,Bachelor's in Computer Science,Mid,Frontend Developer,3.0,3.0,False,Bachelor,"['HTML', 'CSS', 'JavaScript', 'React', 'Teamwork']",5
3,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Spring', 'SQL', 'REST APIs', 'Problem Solving']",5
4,Bachelor's in Design,Entry,Designer,1.0,1.0,False,Bachelor,"['Figma', 'Adobe XD', 'UI', 'UX Design', 'Creativity']",5
5,Master's in Computer Science,Mid,Full Stack Python Developer,3.0,3.0,False,Master,"['Python', 'Django', 'JavaScript', 'React', 'Agile']",5
6,Master's in Finance,Senior,Finance,7.0,7.0,False,Master,"['Financial Modeling', 'Excel', 'Communication', 'Risk Analysis']",4
7,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unreal Engine', 'Game Design', 'Teamwork']",4
8,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['Kubernetes', 'Docker', 'AWS', 'CI', 'CD', 'Linux']",6
9,Bachelor's in Software Engineering,Mid,Full Stack Java Developer,3.0,3.0,False,Bachelor,"['Java', 'Spring Boot', 'Hibernate', 'Microservices']",4
10,Bachelor's in Computer Science,Entry,Blockchain Developer,1.0,1.0,False,Bachelor,"['Solidity', 'Ethereum', 'JavaScript', 'Blockchain']",4
11,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Marketing Strategy', 'SEO', 'Content Creation', 'Analytics']",4
12,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['Recruitment', 'HR Policies', 'Communication', 'Leadership']",4
13,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', '.NET', 'SQL', 'ASP.NET']",4
14,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Laravel', 'MySQL', 'JavaScript']",4
15,Bachelor's in Computer Science,Mid,Mobile Developer,3.0,3.0,False,Bachelor,"['Swift', 'iOS Development', 'Objective-C', 'UI', 'UX']",5
16,Bachelor's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Bachelor,"['Network Security', 'Penetration Testing', 'Firewalls']",3
17,Master's in Business Administration,Senior,Software Project Manager,7.0,7.0,False,Master,"['Agile', 'Scrum', 'Project Management', 'Leadership']",4
18,Bachelor's in Game Development,Entry,Video Game Designer,1.0,1.0,False,Bachelor,"['C++', 'Unity', 'Game Design', '3D Modeling']",4
19,Master's in Data Science,Mid,Data Analyst,3.0,3.0,False,Master,"['Python', 'Pandas', 'SQL', 'Data Visualization']",4
20,Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,7.0,7.0,False,Bachelor,"['Kubernetes', 'Helm', 'AWS', 'Terraform']",4
21,Bachelor's in Computer Science,Mid,Web Developer,3.0,3.0,False,Bachelor,"['HTML', 'CSS', 'JavaScript', 'Node.js', 'MongoDB']",5
22,PhD in Artificial Intelligence,Senior,AIML,7.0,7.0,False,PhD,"['Python', 'Machine Learning', 'Deep Learning', 'NLP']",4
23,Bachelor's in Software Engineering,Mid,Mobile Developer,3.0,3.0,False,Bachelor,"['Java', 'Android Development', 'Kotlin', 'REST APIs']",4
24,Bachelor's in Computer Science,Entry,Full Stack Python Developer,1.0,1.0,False,Bachelor,"['Python', 'Flask', 'JavaScript', 'PostgreSQL']",4
25,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring', 'Angular', 'Microservices']",4
26,Bachelor's in Graphic Design,Mid,Designer,3.0,3.0,False,Bachelor,"['Adobe Illustrator', 'Photoshop', 'UI', 'UX', 'Prototyping']",5
27,Bachelor's in Statistics,Entry,Data Analyst,1.0,1.0,False,Bachelor,"['SQL', 'Tableau', 'Data Analysis', 'Statistics']",4
28,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C#', 'Unity', 'Game Physics', '3D Modeling']",4
29,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Jenkins', 'Docker', 'Ansible']",4
30,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'WordPress', 'MySQL', 'JavaScript']",4
31,Master's in Data Science,Mid,Data Scientist,3.0,3.0,False,Master,"['Python', 'TensorFlow', 'Keras', 'Data Science']",4
32,Bachelor's in Computer Science,Senior,Blockchain Developer,7.0,7.0,False,Bachelor,"['Blockchain', 'Smart Contracts', 'Solidity', 'Web3']",4
33,Bachelor's in Computer Science,Mid,Frontend Developer,3.0,3.0,False,Bachelor,"['React', 'JavaScript', 'HTML', 'CSS', 'Redux']",5
34,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Hibernate', 'SQL', 'REST APIs']",4
35,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Digital Marketing', 'Google Analytics', 'SEO', 'PPC']",4
36,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['HR Management', 'Recruitment', 'Employee Relations']",3
37,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', '.NET Core', 'Azure', 'SQL Server']",4
38,Bachelor's in Computer Science,Entry,Mobile Developer,1.0,1.0,False,Bachelor,"['Swift', 'iOS', 'Xcode', 'Core Data']",4
39,Master's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Master,"['Network Security', 'Ethical Hacking', 'SIEM']",3
40,Master's in Business Administration,Mid,Software Project Manager,3.0,3.0,False,Master,"['Agile', 'JIRA', 'Stakeholder Management']",3
41,Master's in Data Science,Senior,Data Scientist,7.0,7.0,False,Master,"['Python', 'R', 'SQL', 'Machine Learning']",4
42,Bachelor's in Design,Entry,Designer,1.0,1.0,False,Bachelor,"['Figma', 'Sketch', 'UI', 'UX', 'Wireframing']",5
43,Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,3.0,3.0,False,Bachelor,"['Kubernetes', 'Docker', 'GCP', 'CI', 'CD']",5
44,Bachelor's in Information Technology,Entry,Web Developer,1.0,1.0,False,Bachelor,"['JavaScript', 'Node.js', 'Express', 'MongoDB']",4
45,Bachelor's in Computer Science,Mid,Full Stack Python Developer,3.0,3.0,False,Bachelor,"['Python', 'Django', 'PostgreSQL', 'JavaScript']",4
46,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring Boot', 'Angular', 'AWS']",4
47,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unreal Engine', 'VR Development']",3
48,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Terraform', 'Jenkins', 'Linux']",4
49,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Symfony', 'MySQL', 'JavaScript']",4
50,Bachelor's in Computer Science,Mid,Blockchain Developer,3.0,3.0,False,Bachelor,"['Solidity', 'Web3', 'Ethereum', 'JavaScript']",4
51,Bachelor's in Computer Science,Entry,Frontend Developer,1.0,1.0,False,Bachelor,"['React', 'TypeScript', 'HTML', 'CSS']",4
52,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Spring', 'SQL', 'Microservices']",4
53,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Marketing Campaigns', 'Social Media', 'Analytics']",3
54,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['HR Policies', 'Recruitment', 'Training']",3
55,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', 'ASP.NET', 'SQL Server', 'Azure']",4
56,Bachelor's in Computer Science,Entry,Mobile Developer,1.0,1.0,False,Bachelor,"['Swift', 'iOS Development', 'UI', 'UX', 'Core Data']",5
57,Master's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Master,"['Penetration Testing', 'Firewalls', 'SIEM']",3
58,Master's in Business Administration,Mid,Software Project Manager,3.0,3.0,False,Master,"['Scrum', 'Agile', 'Project Management']",3
59,Master's in Data Science,Entry,Data Analyst,1.0,1.0,False,Master,"['Python', 'Pandas', 'SQL', 'Tableau']",4
60,Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,7.0,7.0,False,Bachelor,"['Kubernetes', 'Helm', 'AWS', 'Docker']",4
61,Bachelor's in Information Technology,Mid,Web Developer,3.0,3.0,False,Bachelor,"['HTML', 'CSS', 'JavaScript', 'Vue.js']",4
62,PhD in Artificial Intelligence,Senior,AIML,7.0,7.0,False,PhD,"['Python', 'TensorFlow', 'NLP', 'Deep Learning']",4
63,Bachelor's in Software Engineering,Mid,Mobile Developer,3.0,3.0,False,Bachelor,"['Java', 'Kotlin', 'Android SDK', 'REST APIs']",4
